Source,Target,Weight,Type
user_474312,user_105081,1,Undirected
user_15713,user_46105,1,Undirected
user_18276,user_257679,1,Undirected
user_410718,user_487520,1,Undirected
user_274593,user_469629,1,Undirected
user_274593,user_246495,1,Undirected
user_94130,user_66378,1,Undirected
user_481860,user_107429,1,Undirected
user_83516,user_354382,1,Undirected
user_83516,user_315150,1,Undirected
user_217537,user_499666,1,Undirected
user_217537,user_404106,1,Undirected
user_217537,user_369053,1,Undirected
user_433411,user_67332,1,Undirected
user_336373,user_97401,1,Undirected
user_86933,user_423686,1,Undirected
user_178061,user_150200,1,Undirected
user_178061,user_98568,1,Undirected
user_201438,user_267951,1,Undirected
user_150200,user_98568,1,Undirected
user_150200,user_388000,1,Undirected
user_150200,user_475874,1,Undirected
user_381814,user_318968,1,Undirected
user_381814,user_176476,1,Undirected
user_381814,user_480593,1,Undirected
user_478162,user_255192,1,Undirected
user_478162,user_226001,1,Undirected
user_255192,user_226001,1,Undirected
user_318968,user_176476,1,Undirected
user_318968,user_480593,1,Undirected
user_101224,user_120297,1,Undirected
user_101224,user_446144,1,Undirected
user_176476,user_480593,1,Undirected
user_226001,user_169690,1,Undirected
user_226001,user_144003,1,Undirected
user_226001,user_324129,1,Undirected
user_226001,user_394677,1,Undirected
user_39552,user_124000,1,Undirected
user_378110,user_337586,1,Undirected
user_87216,user_41674,1,Undirected
user_467291,user_485565,1,Undirected
user_467291,user_303993,1,Undirected
user_467291,user_202285,1,Undirected
user_467291,user_307183,1,Undirected
user_467291,user_186592,1,Undirected
user_467291,user_105332,1,Undirected
user_422339,user_80939,1,Undirected
user_422339,user_284069,1,Undirected
user_422339,user_129596,1,Undirected
user_422339,user_194213,1,Undirected
user_422339,user_357246,1,Undirected
user_422339,user_178023,1,Undirected
user_422339,user_11150,1,Undirected
user_59932,user_33027,1,Undirected
user_250366,user_42376,1,Undirected
user_250366,user_245604,1,Undirected
user_250366,user_248307,1,Undirected
user_250366,user_268334,1,Undirected
user_42376,user_245604,1,Undirected
user_42376,user_248307,1,Undirected
user_54994,user_13437,1,Undirected
user_245604,user_248307,1,Undirected
user_121832,user_459468,1,Undirected
user_275297,user_432142,1,Undirected
user_275297,user_306318,1,Undirected
user_275297,user_191006,1,Undirected
user_275297,user_81534,1,Undirected
user_275297,user_55909,1,Undirected
user_464891,user_426926,1,Undirected
user_464891,user_342506,1,Undirected
user_464891,user_137836,1,Undirected
user_464891,user_345156,1,Undirected
user_467454,user_361062,1,Undirected
user_467454,user_486472,1,Undirected
user_432142,user_306318,1,Undirected
user_432142,user_191006,1,Undirected
user_426926,user_342506,1,Undirected
user_426926,user_137836,1,Undirected
user_426926,user_291285,1,Undirected
user_361062,user_486472,1,Undirected
user_185822,user_386315,1,Undirected
user_283489,user_410493,1,Undirected
user_342506,user_137836,1,Undirected
user_48010,user_273486,1,Undirected
user_456314,user_233636,1,Undirected
user_456314,user_106676,1,Undirected
user_456314,user_487277,1,Undirected
user_456314,user_25636,1,Undirected
user_456314,user_357701,1,Undirected
user_85319,user_230005,1,Undirected
user_85319,user_401416,1,Undirected
user_85319,user_114990,1,Undirected
user_85319,user_460202,1,Undirected
user_448725,user_263673,1,Undirected
user_448725,user_456378,1,Undirected
